35.164.133.195 - - [28/Jul/2019:06:56:19 +0100] "GET / HTTP/1.1" 302 169 "-" "Go-http-client/1.1"
91.7.71.39 - - [28/Jul/2019:06:58:06 +0100] "GET / HTTP/1.0" 200 5343 "-" "-"
52.88.205.70 - - [28/Jul/2019:07:28:04 +0100] "GET / HTTP/1.1" 200 1969 "-" "Go-http-client/1.1"
66.249.64.184 - - [28/Jul/2019:07:57:11 +0100] "GET / HTTP/1.1" 200 1969 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.184 - - [28/Jul/2019:07:57:15 +0100] "GET /javascripts/jquery.serialScroll.js HTTP/1.1" 200 2013 "http://allergyassassin.com/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.186 - - [28/Jul/2019:07:57:16 +0100] "GET /javascripts/fancybox/jquery.fancybox-1.3.1.css HTTP/1.1" 200 8475 "http://allergyassassin.com/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.16 - - [28/Jul/2019:07:57:16 +0100] "GET /javascripts/jquery.tools.js HTTP/1.1" 200 3985 "http://allergyassassin.com/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.15 - - [28/Jul/2019:07:57:17 +0100] "GET /javascripts/slickapp.js HTTP/1.1" 200 1522 "http://allergyassassin.com/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.186 - - [28/Jul/2019:07:57:17 +0100] "GET /stylesheets/styles.css HTTP/1.1" 200 13573 "http://allergyassassin.com/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.17 - - [28/Jul/2019:07:57:18 +0100] "GET /javascripts/jquery.scroll.js HTTP/1.1" 200 2005 "http://allergyassassin.com/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
159.138.152.215 - - [28/Jul/2019:08:02:33 +0100] "GET /images/screen1.png HTTP/1.1" 200 137821 "https://www.google.com" "Mozilla/5.0(Linux;Android 5.1.1;OPPO A33 Build/LMY47V;wv) AppleWebKit/537.36(KHTML,link Gecko) Version/4.0 Chrome/42.0.2311.138 Mobile Safari/537.36 Mb2345Browser/9.0"
